,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
1,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
2,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
3,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
4,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
5,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
6,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
7,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
8,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
9,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
10,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
11,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
12,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
13,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
14,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
15,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
16,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
17,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
18,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
19,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
20,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
21,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
22,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
23,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
24,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,58176627.77592012,0.0,710400000.0,0.0
25,95107331.23784721,0.0,99525397.17141615,0.0,44215020.369581826,0.0,20384338.443195168,0.0,88846718.92101118,0.0030790502064366003,710400000.0,1997.657025475542
